product_id,day,trades,volume,vwap,high,low,open,close,price_change_pct
SOL-USD,2026-01-19,4227,13823.81234739,133.02974165,133.93000000,131.19000000,133.90000000,131.37000000,-1.8895
BTC-USD,2026-01-19,8709,114.09193016,91957.62152930,92768.07000000,90816.22000000,92768.06000000,90973.26000000,-1.9347
ETH-USD,2026-01-19,7614,1879.73458975,3170.89914516,3194.12000000,3114.67000000,3193.64000000,3120.87000000,-2.2786
BTC-USD,2026-01-20,31658,615.27410141,88060.01463933,88462.43000000,87767.53000000,88347.21000000,88334.54000000,-0.0143
SOL-USD,2026-01-20,9356,57322.38067018,125.79957632,126.35000000,124.88000000,125.94000000,126.14000000,0.1588
ETH-USD,2026-01-20,12479,3790.55701858,2938.89721873,2949.00000000,2926.40000000,2944.17000000,2944.65000000,0.0163
SOL-USD,2026-01-21,10242,24053.93101744,129.90400026,130.47000000,129.41000000,130.31000000,130.08000000,-0.1765
ETH-USD,2026-01-21,18091,4370.49937754,3016.63279775,3035.84000000,2996.51000000,3032.40000000,3014.45000000,-0.5919
BTC-USD,2026-01-21,28068,283.51269344,89899.26699787,90273.35000000,89605.99000000,90200.30000000,89850.01000000,-0.3883
ETH-USD,2026-01-22,15258,2880.13461802,2952.23812031,2964.07000000,2942.71000000,2946.96000000,2961.54000000,0.4947
SOL-USD,2026-01-22,7330,18647.59224728,128.27561961,128.66000000,127.92000000,128.19000000,128.50000000,0.2418
BTC-USD,2026-01-22,14830,143.77884817,89540.89864608,89772.00000000,89403.88000000,89502.02000000,89726.61000000,0.2509
ETH-USD,2026-02-14,149,38.70950160,2088.07623017,2088.89000000,2086.99000000,2088.48000000,2087.88000000,-0.0287
BTC-USD,2026-02-14,280,2.70847005,69908.06453821,69947.86000000,69880.65000000,69943.24000000,69924.60000000,-0.0267
SOL-USD,2026-02-14,152,529.73263617,88.08615943,88.14000000,88.03000000,88.11000000,88.14000000,0.0340
