product_id,bucket_1h,open,high,low,close,volume,trade_count,vwap
BTC-USD,2026-01-19 17:00:00-08:00,92768.06000000,92768.07000000,92625.00000000,92655.16000000,13.39094827,421,92700.58083402
ETH-USD,2026-01-19 17:00:00-08:00,3193.64000000,3194.12000000,3189.61000000,3190.74000000,87.13085262,257,3191.42799764
SOL-USD,2026-01-19 17:00:00-08:00,133.90000000,133.93000000,133.75000000,133.78000000,909.40534176,136,133.83351816
BTC-USD,2026-01-19 18:00:00-08:00,92658.90000000,92664.06000000,92376.58000000,92410.17000000,60.70858779,5503,92488.37986949
ETH-USD,2026-01-19 18:00:00-08:00,3190.90000000,3191.56000000,3180.82000000,3181.21000000,1404.43720445,5749,3184.21085901
SOL-USD,2026-01-19 18:00:00-08:00,133.79000000,133.83000000,133.28000000,133.41000000,9663.79801070,3077,133.52440829
ETH-USD,2026-01-19 23:00:00-08:00,3116.11000000,3121.57000000,3114.67000000,3120.87000000,388.16653268,1608,3118.12756164
SOL-USD,2026-01-19 23:00:00-08:00,131.37000000,131.50000000,131.19000000,131.37000000,3250.60899493,1014,131.33426946
BTC-USD,2026-01-19 23:00:00-08:00,90933.95000000,90985.34000000,90816.22000000,90973.26000000,39.99239410,2785,90903.15805305
BTC-USD,2026-01-20 14:00:00-08:00,88347.21000000,88462.43000000,88300.18000000,88372.20000000,34.58878289,2490,88402.08915670
SOL-USD,2026-01-20 14:00:00-08:00,125.94000000,126.20000000,125.84000000,125.94000000,2575.17199600,781,126.01867725
ETH-USD,2026-01-20 14:00:00-08:00,2944.17000000,2948.20000000,2942.70000000,2947.63000000,158.30452221,767,2945.89648860
BTC-USD,2026-01-20 15:00:00-08:00,88374.74000000,88389.16000000,87767.53000000,88334.54000000,580.68531852,29168,88039.63881643
ETH-USD,2026-01-20 15:00:00-08:00,2948.10000000,2949.00000000,2926.40000000,2944.65000000,3632.25249637,11712,2938.59216943
SOL-USD,2026-01-20 15:00:00-08:00,125.93000000,126.35000000,124.88000000,126.14000000,54747.20867418,8575,125.78927036
BTC-USD,2026-01-21 18:00:00-08:00,90200.30000000,90273.35000000,89740.42000000,89850.13000000,122.94963036,11098,89977.64319659
ETH-USD,2026-01-21 18:00:00-08:00,3032.40000000,3035.84000000,3012.12000000,3014.81000000,1829.55460368,6952,3024.36546848
SOL-USD,2026-01-21 18:00:00-08:00,130.31000000,130.47000000,129.58000000,129.69000000,9370.34227411,3902,129.99451052
SOL-USD,2026-01-21 19:00:00-08:00,129.69000000,130.19000000,129.41000000,129.74000000,13003.15549990,5704,129.80847563
BTC-USD,2026-01-21 19:00:00-08:00,89860.22000000,90075.30000000,89605.99000000,89801.92000000,145.84448159,15394,89837.11220643
ETH-USD,2026-01-21 19:00:00-08:00,3014.82000000,3028.14000000,2996.51000000,3011.53000000,2366.50504603,10285,3010.80048090
BTC-USD,2026-01-21 20:00:00-08:00,89823.09000000,89899.75000000,89807.15000000,89850.01000000,14.71858149,1576,89860.44591140
SOL-USD,2026-01-21 20:00:00-08:00,130.10000000,130.21000000,130.07000000,130.08000000,1680.43324343,636,130.13846936
ETH-USD,2026-01-21 20:00:00-08:00,3013.28000000,3017.48000000,3012.40000000,3014.45000000,174.43972783,854,3014.65425716
BTC-USD,2026-01-22 16:00:00-08:00,89502.02000000,89542.01000000,89403.88000000,89430.66000000,51.47995916,5264,89480.34847108
SOL-USD,2026-01-22 16:00:00-08:00,128.19000000,128.35000000,127.92000000,128.23000000,9271.05194359,3755,128.15026474
ETH-USD,2026-01-22 16:00:00-08:00,2946.96000000,2952.79000000,2942.71000000,2950.01000000,1102.21472113,7082,2947.44152842
SOL-USD,2026-01-22 17:00:00-08:00,128.23000000,128.66000000,128.13000000,128.50000000,9376.54030369,3575,128.39956422
BTC-USD,2026-01-22 17:00:00-08:00,89430.01000000,89772.00000000,89430.01000000,89726.61000000,92.29888901,9566,89574.67067269
ETH-USD,2026-01-22 17:00:00-08:00,2950.25000000,2964.07000000,2950.03000000,2961.54000000,1777.91989689,8176,2955.21174932
SOL-USD,2026-02-14 14:00:00-08:00,88.11000000,88.14000000,88.03000000,88.14000000,529.73263617,152,88.08615943
BTC-USD,2026-02-14 14:00:00-08:00,69943.24000000,69947.86000000,69880.65000000,69924.60000000,2.70847005,280,69908.06453821
ETH-USD,2026-02-14 14:00:00-08:00,2088.48000000,2088.89000000,2086.99000000,2087.88000000,38.70950160,149,2088.07623017
