product_id,bucket_1m,open,high,low,close,volume,trade_count,vwap
BTC-USD,2026-01-19 17:59:00-08:00,92768.06000000,92768.07000000,92625.00000000,92655.16000000,13.39094827,421,92700.58083402
ETH-USD,2026-01-19 17:59:00-08:00,3193.64000000,3194.12000000,3189.61000000,3190.74000000,87.13085262,257,3191.42799764
SOL-USD,2026-01-19 17:59:00-08:00,133.90000000,133.93000000,133.75000000,133.78000000,909.40534176,136,133.83351816
BTC-USD,2026-01-19 18:00:00-08:00,92658.90000000,92664.06000000,92586.11000000,92613.90000000,11.51801035,429,92624.26071452
ETH-USD,2026-01-19 18:00:00-08:00,3190.90000000,3191.50000000,3187.80000000,3189.04000000,38.25962382,211,3189.46328657
SOL-USD,2026-01-19 18:00:00-08:00,133.79000000,133.83000000,133.68000000,133.72000000,766.63235431,166,133.77665934
ETH-USD,2026-01-19 18:01:00-08:00,3189.04000000,3189.77000000,3188.86000000,3189.77000000,18.88436787,106,3189.11037857
SOL-USD,2026-01-19 18:01:00-08:00,133.73000000,133.77000000,133.71000000,133.75000000,320.51660661,108,133.74761469
BTC-USD,2026-01-19 18:01:00-08:00,92613.89000000,92630.83000000,92610.00000000,92623.05000000,1.97907677,171,92618.04685017
ETH-USD,2026-01-19 18:02:00-08:00,3189.40000000,3190.55000000,3188.25000000,3190.37000000,12.91653037,130,3189.42373857
BTC-USD,2026-01-19 18:02:00-08:00,92624.24000000,92632.40000000,92585.84000000,92608.02000000,1.98906204,201,92609.77277678
SOL-USD,2026-01-19 18:02:00-08:00,133.76000000,133.76000000,133.70000000,133.76000000,119.61160829,72,133.72821556
BTC-USD,2026-01-19 18:03:00-08:00,92607.80000000,92620.90000000,92582.10000000,92592.33000000,1.04465238,179,92599.89157906
SOL-USD,2026-01-19 18:03:00-08:00,133.75000000,133.79000000,133.69000000,133.71000000,703.06643138,214,133.73547247
ETH-USD,2026-01-19 18:03:00-08:00,3190.26000000,3191.56000000,3188.20000000,3189.89000000,130.02080832,216,3189.06254656
SOL-USD,2026-01-19 18:04:00-08:00,133.72000000,133.72000000,133.48000000,133.62000000,285.84313797,155,133.54564430
BTC-USD,2026-01-19 18:04:00-08:00,92592.33000000,92592.33000000,92518.00000000,92549.06000000,1.67046887,251,92541.85564846
ETH-USD,2026-01-19 18:04:00-08:00,3189.88000000,3189.88000000,3185.47000000,3186.32000000,65.80679592,306,3186.58878127
ETH-USD,2026-01-19 18:05:00-08:00,3186.32000000,3186.32000000,3184.11000000,3184.45000000,35.22499418,187,3184.79993487
SOL-USD,2026-01-19 18:05:00-08:00,133.59000000,133.59000000,133.42000000,133.45000000,336.89299957,102,133.44697266
BTC-USD,2026-01-19 18:05:00-08:00,92544.44000000,92544.44000000,92494.94000000,92499.08000000,1.63661299,220,92511.11559382
SOL-USD,2026-01-19 18:06:00-08:00,133.46000000,133.54000000,133.37000000,133.52000000,1121.72487173,125,133.44059664
ETH-USD,2026-01-19 18:06:00-08:00,3184.45000000,3185.83000000,3181.89000000,3184.85000000,126.41503486,363,3183.39484068
BTC-USD,2026-01-19 18:06:00-08:00,92499.08000000,92521.29000000,92467.81000000,92512.64000000,3.34863156,286,92490.50363099
SOL-USD,2026-01-19 18:07:00-08:00,133.52000000,133.55000000,133.46000000,133.49000000,2503.99285545,365,133.52594701
ETH-USD,2026-01-19 18:07:00-08:00,3184.85000000,3186.19000000,3182.05000000,3184.76000000,140.08900597,270,3183.67023905
BTC-USD,2026-01-19 18:07:00-08:00,92512.64000000,92525.92000000,92469.40000000,92469.41000000,1.50260638,198,92506.65017466
SOL-USD,2026-01-19 18:08:00-08:00,133.48000000,133.48000000,133.35000000,133.41000000,710.08060094,227,133.43071555
BTC-USD,2026-01-19 18:08:00-08:00,92469.40000000,92469.41000000,92423.00000000,92440.08000000,2.44643709,275,92432.55817593
ETH-USD,2026-01-19 18:08:00-08:00,3184.71000000,3184.80000000,3181.39000000,3183.92000000,58.15022922,268,3182.57824882
SOL-USD,2026-01-19 18:09:00-08:00,133.40000000,133.40000000,133.28000000,133.33000000,558.11605269,135,133.34367049
BTC-USD,2026-01-19 18:09:00-08:00,92440.08000000,92445.99000000,92400.92000000,92429.95000000,5.24639347,291,92424.56469948
ETH-USD,2026-01-19 18:09:00-08:00,3183.80000000,3183.88000000,3180.82000000,3182.33000000,84.81614827,452,3182.26816155
SOL-USD,2026-01-19 18:10:00-08:00,133.34000000,133.44000000,133.34000000,133.41000000,252.51717171,129,133.38963893
BTC-USD,2026-01-19 18:10:00-08:00,92429.96000000,92463.39000000,92422.00000000,92437.94000000,3.49841620,418,92436.08086858
ETH-USD,2026-01-19 18:10:00-08:00,3182.44000000,3183.60000000,3181.30000000,3182.30000000,68.17962712,262,3182.36365137
